CICLO,CODIGO,NOMBRE DE LA ASIGNATURA,CREDITOS
PRIMER CICLO,C0090,FILOSOFIA,3
PRIMER CICLO,C0613,COMUNICACION Y REDACCION 1,3
PRIMER CICLO,C0659,CALCULO DIFERENCIAL PARA INGENIERIA,4
PRIMER CICLO,C0737,ALGEBRA MATRICIAL Y GEOMETRIA ANALITICA,3
PRIMER CICLO,C0201,QUIMICA GENERAL,5
PRIMER CICLO,C8189,INTRODUCCION A LA INGENIERIA INFORMATICA,2
SEGUNDO CICLO,C0614,COMUNICACION Y REDACCION 2,3
SEGUNDO CICLO,C0657,CALCULO INTEGRAL PARA INGENIERIA,4
SEGUNDO CICLO,C0622,FISICA PARA INGENIERIA 1,5
SEGUNDO CICLO,C8190,BIOLOGIA PARA INGENIERIA,5
SEGUNDO CICLO,C8191,PROCESOS DE INNOVACION EN INGENIERIA,2
SEGUNDO CICLO,C0667,FUNDAMENTOS DE PROGRAMACION,3
TERCER CICLO,C0741,CALCULO VECTORIAL PARA INGENIERIA,4
TERCER CICLO,C0742,FISICA PARA INGENIERIA 2,5
TERCER CICLO,C0208,QUIMICA ORGANICA,5
TERCER CICLO,C0513,CIENCIAS SOCIALES,2
TERCER CICLO,C8274,PROGRAMACION ORIENTADA A OBJETOS,3
TERCER CICLO,C8275,ESTRUCTURAS DISCRETAS,3
